OrderID,Date,Region,Category,UnitsSold,UnitPrice,Revenue,Discount,NetRevenue
2401,2023-01-12,East,Sports,3,441.04,1323.12,0.0,1323.12
1688,2023-01-12,North,Groceries,8,244.28,1954.24,0.05,1856.53
1513,2023-01-12,East,Clothing,13,297.69,3869.97,0.1,3482.97
2847,2023-01-12,South,Sports,12,327.98,3935.76,0.05,3738.97
2987,2023-01-12,East,Sports,7,119.21,834.47,0.0,834.47
1994,2023-01-13,North,Sports,7,319.79,2238.53,0.15,1902.75
2924,2023-01-14,North,Sports,8,285.73,2285.84,0.0,2285.84
1054,2023-01-14,South,Clothing,3,239.13,717.39,0.0,717.39
2846,2023-01-14,West,Groceries,5,456.26,2281.3,0.0,2281.3
2084,2023-01-15,East,Sports,3,481.12,1443.36,0.2,1154.69
1139,2023-01-15,South,Groceries,11,434.76,4782.36,0.0,4782.36
2060,2023-01-15,North,Furniture,4,29.04,116.16,0.05,110.35
1098,2023-01-15,West,Furniture,8,284.97,2279.76,0.05,2165.77
1890,2023-01-15,West,Electronics,11,419.98,4619.78,0.15,3926.81
1491,2023-01-16,North,Groceries,3,306.97,920.91,0.15,782.77
2463,2023-01-16,East,Clothing,3,383.62,1150.86,0.05,1093.32
2423,2023-01-16,West,Groceries,11,290.56,3196.16,0.2,2556.93
2644,2023-01-17,East,Electronics,3,324.65,973.95,0.15,827.86
2670,2023-01-17,North,Sports,2,220.69,441.38,0.0,441.38
2315,2023-01-17,East,Groceries,2,330.61,661.22,0.2,528.98
2377,2023-01-17,North,Furniture,4,354.3,1417.2,0.0,1417.2
1341,2023-01-17,East,Clothing,5,124.14,620.7,0.1,558.63
2397,2023-01-17,North,Electronics,9,457.65,4118.85,0.0,4118.85
1366,2023-01-18,East,Furniture,10,88.86,888.6,0.0,888.6
2205,2023-01-18,East,Sports,7,181.12,1267.84,0.0,1267.84
1560,2023-01-19,East,Electronics,14,262.46,3674.44,0.0,3674.44
2204,2023-01-19,East,Sports,13,219.72,2856.36,0.1,2570.72
2543,2023-01-20,East,Clothing,2,68.67,137.34,0.1,123.61
1391,2023-01-20,North,Sports,1,385.71,385.71,0.0,385.71
2976,2023-01-20,West,Sports,6,115.79,694.74,0.0,694.74
2717,2023-01-21,East,Sports,1,161.42,161.42,0.05,153.35
1048,2023-01-21,East,Electronics,2,197.37,394.74,0.2,315.79
1007,2023-01-21,East,Sports,8,466.17,3729.36,0.1,3356.42
2908,2023-01-21,East,Clothing,5,168.85,844.25,0.0,844.25
1030,2023-01-22,South,Furniture,4,180.31,721.24,0.15,613.05
2674,2023-01-22,North,Furniture,4,374.6,1498.4,0.1,1348.56
1320,2023-01-22,South,Sports,2,369.05,738.1,0.05,701.2
2841,2023-01-22,North,Furniture,6,238.45,1430.7,0.0,1430.7
2710,2023-01-22,South,Furniture,3,226.15,678.45,0.15,576.68
2042,2023-01-23,West,Furniture,3,88.72,266.16,0.05,252.85
1481,2023-01-23,West,Clothing,10,342.45,3424.5,0.0,3424.5
1746,2023-01-23,North,Furniture,8,51.09,408.72,0.1,367.85
2105,2023-01-23,West,Clothing,11,386.49,4251.39,0.1,3826.25
2880,2023-01-24,East,Groceries,2,210.81,421.62,0.05,400.54
2165,2023-01-25,East,Electronics,6,152.54,915.24,0.15,777.95
1906,2023-01-25,South,Groceries,12,345.76,4149.12,0.0,4149.12
2383,2023-01-25,North,Electronics,8,224.95,1799.6,0.05,1709.62
1578,2023-01-25,North,Electronics,6,203.01,1218.06,0.0,1218.06
1966,2023-01-26,North,Sports,7,404.83,2833.81,0.1,2550.43
1861,2023-01-26,North,Clothing,9,124.94,1124.46,0.15,955.79
2323,2023-01-27,South,Electronics,10,139.76,1397.6,0.1,1257.84
2742,2023-01-27,North,Sports,8,333.43,2667.44,0.0,2667.44
1328,2023-01-27,North,Furniture,4,463.02,1852.08,0.0,1852.08
1164,2023-01-28,East,Electronics,13,309.65,4025.45,0.0,4025.45
2930,2023-01-28,East,Sports,5,309.78,1548.9,0.1,1394.01
1117,2023-01-28,East,Groceries,12,216.02,2592.24,0.1,2333.02
1874,2023-01-28,West,Clothing,11,132.62,1458.82,0.1,1312.94
1894,2023-01-28,West,Sports,12,164.16,1969.92,0.05,1871.42
2689,2023-01-29,North,Clothing,2,448.77,897.54,0.2,718.03
2478,2023-01-29,South,Clothing,11,252.13,2773.43,0.2,2218.74
2304,2023-01-29,West,Sports,12,116.06,1392.72,0.2,1114.18
1613,2023-01-29,North,Electronics,12,405.67,4868.04,0.0,4868.04
2126,2023-01-29,South,Sports,4,32.84,131.36,0.05,124.79
2344,2023-01-29,South,Sports,12,288.48,3461.76,0.1,3115.58
2622,2023-01-31,North,Sports,4,199.23,796.92,0.0,796.92
2195,2023-02-01,West,Groceries,2,79.52,159.04,0.1,143.14
1120,2023-02-02,West,Groceries,13,161.13,2094.69,0.1,1885.22
2690,2023-02-02,North,Furniture,13,491.43,6388.59,0.05,6069.16
1315,2023-02-02,South,Furniture,6,238.49,1430.94,0.1,1287.85
1763,2023-02-03,East,Furniture,10,60.63,606.3,0.05,575.98
1917,2023-02-03,South,Electronics,2,294.04,588.08,0.2,470.46
2314,2023-02-03,East,Electronics,12,361.97,4343.64,0.0,4343.64
2980,2023-02-04,South,Groceries,12,106.33,1275.96,0.0,1275.96
2872,2023-02-04,East,Groceries,6,465.86,2795.16,0.0,2795.16
1518,2023-02-04,South,Groceries,14,289.66,4055.24,0.1,3649.72
1064,2023-02-04,East,Sports,13,337.08,4382.04,0.1,3943.84
1153,2023-02-05,South,Electronics,4,108.48,433.92,0.2,347.14
1389,2023-02-05,South,Groceries,1,454.99,454.99,0.15,386.74
1274,2023-02-06,South,Sports,14,316.79,4435.06,0.0,4435.06
1350,2023-02-06,North,Electronics,4,279.22,1116.88,0.0,1116.88
1547,2023-02-06,South,Sports,1,91.23,91.23,0.1,82.11
2662,2023-02-06,South,Sports,4,152.39,609.56,0.0,609.56
2582,2023-02-06,South,Furniture,7,341.06,2387.42,0.0,2387.42
2576,2023-02-07,West,Electronics,11,321.04,3531.44,0.0,3531.44
1322,2023-02-07,North,Furniture,12,182.93,2195.16,0.05,2085.4
2477,2023-02-08,North,Groceries,7,371.11,2597.77,0.0,2597.77
2998,2023-02-08,West,Furniture,12,386.66,4639.92,0.2,3711.94
1585,2023-02-08,South,Clothing,3,66.85,200.55,0.05,190.52
1382,2023-02-08,North,Sports,12,128.69,1544.28,0.05,1467.07
2455,2023-02-08,West,Sports,6,421.7,2530.2,0.15,2150.67
1637,2023-02-08,North,Clothing,7,259.65,1817.55,0.0,1817.55
2703,2023-02-08,South,Furniture,2,403.81,807.62,0.0,807.62
1896,2023-02-08,West,Electronics,1,498.1,498.1,0.0,498.1
2384,2023-02-08,East,Sports,3,472.28,1416.84,0.0,1416.84
2051,2023-02-08,West,Electronics,2,491.59,983.18,0.2,786.54
2596,2023-02-09,West,Sports,11,336.92,3706.12,0.0,3706.12
2597,2023-02-09,East,Furniture,1,162.58,162.58,0.0,162.58
2587,2023-02-09,South,Groceries,6,467.31,2803.86,0.0,2803.86
2570,2023-02-09,East,Groceries,7,317.13,2219.91,0.0,2219.91
1948,2023-02-09,South,Groceries,11,294.24,3236.64,0.0,3236.64
1704,2023-02-10,East,Groceries,14,39.5,553.0,0.0,553.0
1116,2023-02-10,West,Electronics,11,42.98,472.78,0.05,449.14
2313,2023-02-10,North,Furniture,12,165.68,1988.16,0.0,1988.16
1096,2023-02-10,North,Electronics,5,317.44,1587.2,0.0,1587.2
2032,2023-02-11,East,Clothing,5,378.07,1890.35,0.0,1890.35
1588,2023-02-11,North,Groceries,5,133.6,668.0,0.0,668.0
2311,2023-02-11,North,Electronics,6,375.44,2252.64,0.0,2252.64
2382,2023-02-11,East,Clothing,11,306.13,3367.43,0.1,3030.69
1815,2023-02-12,South,Sports,14,158.32,2216.48,0.0,2216.48
1509,2023-02-12,North,Sports,14,81.21,1136.94,0.0,1136.94
2396,2023-02-13,East,Groceries,12,159.71,1916.52,0.0,1916.52
2791,2023-02-15,North,Furniture,12,149.73,1796.76,0.0,1796.76
1346,2023-02-15,East,Furniture,2,150.83,301.66,0.0,301.66
2640,2023-02-15,East,Clothing,1,433.88,433.88,0.0,433.88
1845,2023-02-15,East,Groceries,10,154.83,1548.3,0.0,1548.3
2538,2023-02-16,West,Sports,1,191.81,191.81,0.05,182.22
1425,2023-02-16,North,Groceries,8,276.92,2215.36,0.15,1883.06
1468,2023-02-16,South,Electronics,5,287.81,1439.05,0.0,1439.05
2089,2023-02-16,East,Groceries,11,448.42,4932.62,0.05,4685.99
1851,2023-02-16,South,Sports,5,280.18,1400.9,0.1,1260.81
1676,2023-02-16,West,Furniture,6,270.15,1620.9,0.15,1377.76
2421,2023-02-16,North,Furniture,7,206.02,1442.14,0.0,1442.14
1121,2023-02-17,East,Furniture,5,342.89,1714.45,0.05,1628.73
1858,2023-02-17,South,Clothing,5,227.78,1138.9,0.0,1138.9
1339,2023-02-18,South,Groceries,1,349.7,349.7,0.1,314.73
2177,2023-02-18,North,Groceries,12,291.98,3503.76,0.05,3328.57
1757,2023-02-20,East,Clothing,10,435.98,4359.8,0.2,3487.84
1401,2023-02-20,East,Sports,3,450.3,1350.9,0.0,1350.9
2236,2023-02-20,North,Electronics,10,378.04,3780.4,0.0,3780.4
2125,2023-02-20,West,Sports,7,98.25,687.75,0.15,584.59
1832,2023-02-20,West,Furniture,9,432.17,3889.53,0.05,3695.05
2276,2023-02-22,North,Furniture,6,45.12,270.72,0.0,270.72
1811,2023-02-22,North,Sports,6,41.29,247.74,0.05,235.35
1418,2023-02-22,West,Sports,9,486.48,4378.32,0.1,3940.49
1091,2023-02-22,West,Sports,6,352.57,2115.42,0.05,2009.65
1222,2023-02-22,North,Sports,6,248.98,1493.88,0.15,1269.8
1775,2023-02-23,West,Sports,9,361.96,3257.64,0.1,2931.88
1284,2023-02-23,North,Clothing,4,37.57,150.28,0.1,135.25
1414,2023-02-23,West,Sports,10,264.63,2646.3,0.1,2381.67
2232,2023-02-23,North,Groceries,14,22.41,313.74,0.0,313.74
2537,2023-02-23,East,Electronics,10,494.92,4949.2,0.1,4454.28
2217,2023-02-24,South,Electronics,5,78.5,392.5,0.2,314.0
2355,2023-02-24,North,Groceries,10,317.27,3172.7,0.05,3014.06
2223,2023-02-24,North,Sports,4,352.98,1411.92,0.0,1411.92
1855,2023-02-25,North,Clothing,7,145.45,1018.15,0.1,916.34
1870,2023-02-25,West,Furniture,3,460.98,1382.94,0.05,1313.79
1644,2023-02-27,West,Electronics,13,218.8,2844.4,0.05,2702.18
1436,2023-02-27,North,Groceries,5,350.24,1751.2,0.05,1663.64
1660,2023-02-27,East,Sports,3,160.9,482.7,0.0,482.7
1443,2023-02-27,West,Electronics,1,218.32,218.32,0.05,207.4
1034,2023-02-28,West,Sports,9,111.68,1005.12,0.0,1005.12
2983,2023-02-28,South,Furniture,11,14.76,162.36,0.0,162.36
2285,2023-02-28,North,Sports,2,348.22,696.44,0.1,626.8
2869,2023-02-28,West,Furniture,4,279.8,1119.2,0.05,1063.24
2735,2023-03-01,South,Electronics,13,325.67,4233.71,0.0,4233.71
2380,2023-03-02,North,Sports,3,114.93,344.79,0.05,327.55
2509,2023-03-02,North,Furniture,4,76.57,306.28,0.0,306.28
1830,2023-03-02,East,Groceries,14,498.42,6977.88,0.05,6628.99
2548,2023-03-03,East,Clothing,13,284.69,3700.97,0.2,2960.78
2517,2023-03-03,South,Electronics,13,285.68,3713.84,0.0,3713.84
1554,2023-03-03,North,Groceries,11,301.1,3312.1,0.0,3312.1
2185,2023-03-04,North,Clothing,14,95.67,1339.38,0.1,1205.44
1105,2023-03-04,North,Furniture,13,244.51,3178.63,0.05,3019.7
1731,2023-03-04,East,Electronics,12,194.45,2333.4,0.05,2216.73
2172,2023-03-04,East,Electronics,13,343.3,4462.9,0.0,4462.9
2767,2023-03-05,West,Furniture,13,22.77,296.01,0.1,266.41
1725,2023-03-06,North,Furniture,10,258.24,2582.4,0.1,2324.16
1099,2023-03-06,South,Sports,2,254.44,508.88,0.1,457.99
2931,2023-03-07,North,Sports,10,347.02,3470.2,0.05,3296.69
1909,2023-03-08,South,Clothing,5,158.96,794.8,0.05,755.06
1809,2023-03-10,North,Sports,7,23.03,161.21,0.1,145.09
2098,2023-03-10,North,Furniture,3,40.63,121.89,0.0,121.89
1467,2023-03-10,North,Sports,3,416.16,1248.48,0.0,1248.48
2359,2023-03-10,West,Groceries,8,174.3,1394.4,0.0,1394.4
1575,2023-03-10,East,Electronics,4,278.4,1113.6,0.0,1113.6
1628,2023-03-11,East,Furniture,10,184.84,1848.4,0.05,1755.98
1766,2023-03-13,South,Groceries,2,323.1,646.2,0.0,646.2
1005,2023-03-13,North,Furniture,3,347.79,1043.37,0.15,886.86
2770,2023-03-13,East,Clothing,7,208.35,1458.45,0.0,1458.45
2820,2023-03-14,South,Furniture,14,10.28,143.92,0.0,143.92
1849,2023-03-14,North,Furniture,7,444.48,3111.36,0.0,3111.36
2374,2023-03-14,South,Sports,9,188.7,1698.3,0.0,1698.3
1600,2023-03-15,North,Clothing,14,479.17,6708.38,0.0,6708.38
1955,2023-03-16,East,Groceries,10,432.95,4329.5,0.15,3680.08
1530,2023-03-16,North,Electronics,3,93.05,279.15,0.0,279.15
2308,2023-03-16,West,Clothing,9,246.71,2220.39,0.0,2220.39
2154,2023-03-16,East,Clothing,5,138.47,692.35,0.0,692.35
1784,2023-03-16,East,Clothing,1,402.09,402.09,0.05,381.99
2706,2023-03-16,East,Furniture,10,218.95,2189.5,0.1,1970.55
1566,2023-03-17,West,Sports,1,29.68,29.68,0.0,29.68
1459,2023-03-17,West,Sports,12,41.06,492.72,0.0,492.72
2027,2023-03-19,East,Groceries,10,444.37,4443.7,0.0,4443.7
1847,2023-03-19,South,Electronics,11,140.03,1540.33,0.2,1232.26
1875,2023-03-19,South,Electronics,1,206.38,206.38,0.1,185.74
1754,2023-03-19,East,Clothing,3,162.93,488.79,0.0,488.79
2243,2023-03-19,North,Sports,1,101.58,101.58,0.1,91.42
2692,2023-03-20,North,Furniture,11,210.64,2317.04,0.15,1969.48
1666,2023-03-21,East,Furniture,7,171.47,1200.29,0.0,1200.29
1066,2023-03-22,East,Furniture,12,229.11,2749.32,0.0,2749.32
1210,2023-03-22,South,Electronics,4,388.59,1554.36,0.0,1554.36
2407,2023-03-22,North,Furniture,8,239.08,1912.64,0.2,1530.11
1802,2023-03-22,West,Clothing,5,339.57,1697.85,0.0,1697.85
2631,2023-03-23,North,Clothing,9,420.08,3780.72,0.0,3780.72
2263,2023-03-23,South,Clothing,13,149.25,1940.25,0.0,1940.25
1751,2023-03-24,North,Furniture,6,149.94,899.64,0.0,899.64
2837,2023-03-25,East,Electronics,12,55.62,667.44,0.05,634.07
2927,2023-03-25,South,Sports,3,396.35,1189.05,0.0,1189.05
2709,2023-03-25,North,Clothing,7,385.65,2699.55,0.0,2699.55
2830,2023-03-25,North,Electronics,4,138.18,552.72,0.0,552.72
2719,2023-03-25,South,Furniture,9,318.56,2867.04,0.05,2723.69
2178,2023-03-25,East,Electronics,3,311.37,934.11,0.0,934.11
2256,2023-03-26,North,Furniture,2,24.86,49.72,0.0,49.72
1753,2023-03-26,South,Furniture,3,256.93,770.79,0.1,693.71
1899,2023-03-27,North,Clothing,6,245.59,1473.54,0.15,1252.51
1463,2023-03-27,North,Clothing,8,143.18,1145.44,0.0,1145.44
2796,2023-03-27,North,Furniture,4,495.57,1982.28,0.15,1684.94
1158,2023-03-27,South,Groceries,11,132.17,1453.87,0.1,1308.48
2426,2023-03-27,North,Clothing,5,443.75,2218.75,0.0,2218.75
2848,2023-03-28,South,Electronics,3,388.03,1164.09,0.0,1164.09
2222,2023-03-28,South,Furniture,1,444.5,444.5,0.0,444.5
2242,2023-03-29,East,Electronics,9,417.62,3758.58,0.0,3758.58
2787,2023-03-29,North,Furniture,4,282.13,1128.52,0.15,959.24
1014,2023-03-29,West,Groceries,14,184.0,2576.0,0.1,2318.4
2033,2023-03-30,East,Sports,11,484.22,5326.42,0.0,5326.42
2554,2023-03-30,South,Furniture,5,45.07,225.35,0.0,225.35
2415,2023-03-30,South,Furniture,5,50.67,253.35,0.0,253.35
1981,2023-03-31,North,Clothing,9,76.74,690.66,0.0,690.66
1698,2023-03-31,West,Furniture,8,383.81,3070.48,0.05,2916.96
2810,2023-03-31,South,Clothing,10,402.62,4026.2,0.05,3824.89
1520,2023-03-31,North,Furniture,2,13.56,27.12,0.05,25.76
1634,2023-04-01,North,Furniture,3,297.72,893.16,0.0,893.16
2797,2023-04-02,South,Furniture,6,55.47,332.82,0.1,299.54
1398,2023-04-02,East,Groceries,8,239.99,1919.92,0.0,1919.92
1059,2023-04-02,South,Groceries,2,30.17,60.34,0.05,57.32
2604,2023-04-02,North,Electronics,5,210.53,1052.65,0.05,1000.02
2874,2023-04-03,North,Groceries,11,183.93,2023.23,0.0,2023.23
1828,2023-04-03,South,Electronics,12,432.4,5188.8,0.05,4929.36
1469,2023-04-04,East,Sports,13,305.7,3974.1,0.0,3974.1
1819,2023-04-05,North,Furniture,11,42.77,470.47,0.05,446.95
2094,2023-04-05,West,Clothing,2,317.06,634.12,0.1,570.71
1765,2023-04-05,South,Furniture,4,290.65,1162.6,0.05,1104.47
2005,2023-04-05,South,Electronics,9,436.72,3930.48,0.1,3537.43
1446,2023-04-06,East,Sports,10,207.33,2073.3,0.0,2073.3
1543,2023-04-06,South,Furniture,3,363.84,1091.52,0.1,982.37
2241,2023-04-06,South,Sports,2,88.26,176.52,0.0,176.52
1146,2023-04-06,North,Furniture,2,78.66,157.32,0.0,157.32
2070,2023-04-07,West,Clothing,9,218.63,1967.67,0.05,1869.29
1790,2023-04-08,East,Groceries,11,230.53,2535.83,0.1,2282.25
2450,2023-04-08,South,Furniture,1,59.54,59.54,0.15,50.61
2354,2023-04-08,West,Furniture,2,19.14,38.28,0.1,34.45
1349,2023-04-09,West,Furniture,4,146.18,584.72,0.05,555.48
1357,2023-04-09,East,Clothing,9,339.85,3058.65,0.1,2752.79
1576,2023-04-09,South,Groceries,2,301.45,602.9,0.0,602.9
1737,2023-04-09,North,Groceries,7,40.83,285.81,0.1,257.23
1298,2023-04-09,West,Clothing,3,330.91,992.73,0.05,943.09
1541,2023-04-09,West,Sports,6,375.06,2250.36,0.0,2250.36
2542,2023-04-09,East,Sports,7,461.1,3227.7,0.15,2743.54
2700,2023-04-09,West,Sports,8,149.69,1197.52,0.15,1017.89
1278,2023-04-09,East,Groceries,10,60.63,606.3,0.0,606.3
1126,2023-04-09,East,Sports,7,137.29,961.03,0.0,961.03
1483,2023-04-10,South,Furniture,11,400.48,4405.28,0.05,4185.02
2910,2023-04-10,West,Clothing,11,159.82,1758.02,0.1,1582.22
1016,2023-04-10,East,Clothing,8,405.64,3245.12,0.0,3245.12
2782,2023-04-12,North,Groceries,1,331.58,331.58,0.0,331.58
2392,2023-04-12,East,Sports,2,368.75,737.5,0.0,737.5
1001,2023-04-13,South,Sports,3,161.2,483.6,0.0,483.6
2807,2023-04-13,West,Furniture,10,263.45,2634.5,0.0,2634.5
1422,2023-04-13,West,Clothing,11,372.93,4102.23,0.0,4102.23
1786,2023-04-13,West,Furniture,11,348.47,3833.17,0.05,3641.51
1378,2023-04-14,North,Electronics,3,221.63,664.89,0.1,598.4
2050,2023-04-14,North,Sports,10,491.16,4911.6,0.0,4911.6
1292,2023-04-14,South,Sports,1,264.54,264.54,0.0,264.54
1736,2023-04-15,East,Furniture,4,7.33,29.32,0.0,29.32
1800,2023-04-16,East,Furniture,13,418.76,5443.88,0.0,5443.88
2814,2023-04-16,East,Clothing,10,128.68,1286.8,0.1,1158.12
1072,2023-04-16,North,Groceries,11,425.49,4680.39,0.05,4446.37
2122,2023-04-16,West,Electronics,5,53.44,267.2,0.15,227.12
1430,2023-04-16,East,Groceries,6,306.8,1840.8,0.15,1564.68
1004,2023-04-17,North,Clothing,8,444.93,3559.44,0.2,2847.55
1857,2023-04-17,South,Sports,2,318.73,637.46,0.1,573.71
2531,2023-04-17,South,Sports,3,364.85,1094.55,0.05,1039.82
2959,2023-04-17,East,Sports,1,14.65,14.65,0.05,13.92
2466,2023-04-18,South,Clothing,3,487.28,1461.84,0.05,1388.75
2388,2023-04-18,North,Sports,10,444.04,4440.4,0.0,4440.4
2305,2023-04-19,East,Sports,3,249.46,748.38,0.0,748.38
1586,2023-04-19,South,Sports,3,57.74,173.22,0.05,164.56
1911,2023-04-19,North,Clothing,2,10.35,20.7,0.05,19.66
1816,2023-04-21,North,Furniture,3,430.08,1290.24,0.05,1225.73
1915,2023-04-21,East,Sports,13,248.47,3230.11,0.0,3230.11
2832,2023-04-21,South,Clothing,14,269.07,3766.98,0.15,3201.93
1913,2023-04-21,South,Clothing,12,61.07,732.84,0.0,732.84
1295,2023-04-22,North,Electronics,7,491.78,3442.46,0.05,3270.34
2211,2023-04-23,North,Furniture,1,100.53,100.53,0.0,100.53
1207,2023-04-23,North,Sports,11,67.18,738.98,0.1,665.08
1199,2023-04-23,South,Clothing,14,263.74,3692.36,0.15,3138.51
1977,2023-04-23,North,Electronics,14,245.32,3434.48,0.05,3262.76
2350,2023-04-23,North,Furniture,4,273.57,1094.28,0.0,1094.28
2642,2023-04-23,South,Sports,5,456.83,2284.15,0.0,2284.15
1212,2023-04-23,South,Furniture,1,399.68,399.68,0.1,359.71
2212,2023-04-24,East,Sports,10,62.51,625.1,0.1,562.59
2586,2023-04-24,East,Electronics,14,303.77,4252.78,0.0,4252.78
1524,2023-04-25,West,Sports,12,7.03,84.36,0.0,84.36
2592,2023-04-25,East,Furniture,5,97.36,486.8,0.0,486.8
2289,2023-04-25,North,Electronics,10,303.77,3037.7,0.05,2885.81
1359,2023-04-26,South,Clothing,5,410.28,2051.4,0.0,2051.4
2805,2023-04-26,North,Sports,2,422.3,844.6,0.05,802.37
2893,2023-04-27,East,Groceries,3,127.54,382.62,0.05,363.49
2762,2023-04-27,West,Electronics,5,468.23,2341.15,0.0,2341.15
2148,2023-04-27,South,Groceries,6,42.62,255.72,0.1,230.15
1658,2023-04-27,West,Sports,6,104.31,625.86,0.1,563.27
1439,2023-04-27,East,Furniture,9,135.22,1216.98,0.0,1216.98
2079,2023-04-28,West,Groceries,10,429.02,4290.2,0.05,4075.69
1448,2023-04-28,North,Electronics,3,294.85,884.55,0.0,884.55
1772,2023-04-28,South,Groceries,13,70.57,917.41,0.0,917.41
1958,2023-04-28,East,Furniture,6,307.46,1844.76,0.0,1844.76
1973,2023-04-28,South,Electronics,8,165.73,1325.84,0.0,1325.84
2979,2023-04-29,North,Sports,2,264.15,528.3,0.0,528.3
2270,2023-04-29,South,Clothing,5,74.38,371.9,0.0,371.9
1723,2023-04-29,West,Groceries,11,431.63,4747.93,0.0,4747.93
1285,2023-04-30,West,Electronics,1,354.46,354.46,0.15,301.29
1434,2023-04-30,West,Sports,5,117.23,586.15,0.0,586.15
2676,2023-04-30,East,Electronics,13,258.73,3363.49,0.2,2690.79
2245,2023-04-30,North,Clothing,7,232.03,1624.21,0.0,1624.21
2553,2023-04-30,West,Sports,1,12.19,12.19,0.15,10.36
2958,2023-05-01,North,Furniture,14,50.17,702.38,0.0,702.38
1852,2023-05-01,South,Clothing,11,204.97,2254.67,0.0,2254.67
1009,2023-05-02,East,Electronics,5,137.63,688.15,0.0,688.15
1695,2023-05-02,East,Electronics,8,430.13,3441.04,0.0,3441.04
2812,2023-05-02,South,Electronics,7,362.86,2540.02,0.2,2032.02
2853,2023-05-02,West,Sports,4,430.74,1722.96,0.05,1636.81
1232,2023-05-03,West,Sports,2,437.71,875.42,0.05,831.65
2575,2023-05-04,West,Furniture,1,147.71,147.71,0.0,147.71
1242,2023-05-04,West,Furniture,9,147.64,1328.76,0.0,1328.76
1406,2023-05-05,North,Furniture,14,33.26,465.64,0.05,442.36
1901,2023-05-06,North,Clothing,3,266.38,799.14,0.0,799.14
1814,2023-05-06,West,Sports,5,371.31,1856.55,0.1,1670.9
2994,2023-05-06,West,Furniture,3,6.41,19.23,0.05,18.27
1638,2023-05-06,North,Groceries,7,168.84,1181.88,0.0,1181.88
2844,2023-05-07,West,Groceries,3,60.83,182.49,0.15,155.12
1440,2023-05-07,West,Sports,13,363.57,4726.41,0.15,4017.45
2121,2023-05-07,North,Electronics,1,121.99,121.99,0.0,121.99
2310,2023-05-08,South,Clothing,13,276.89,3599.57,0.05,3419.59
1365,2023-05-08,North,Groceries,7,228.91,1602.37,0.0,1602.37
2287,2023-05-08,West,Sports,13,139.5,1813.5,0.1,1632.15
1102,2023-05-09,East,Furniture,10,302.54,3025.4,0.1,2722.86
2707,2023-05-10,East,Sports,5,341.46,1707.3,0.0,1707.3
1221,2023-05-10,South,Groceries,9,393.28,3539.52,0.0,3539.52
